variable,etiqueta,codigo_eam,categoria_ocupacional,unidad,periodicidad,poblacion,definicion,anios_disponibles,pct_faltantes,pct_ceros,fuente,formula,notas
parafiscales_obreros_c3r6c1,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción",C3R6C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: parafiscales, categoria: obreros.",2008-2024,0,6.19,original,C3R6C1,
parafiscales_profesional_tecnico_c3r6pt,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción",C3R6PT,profesional_tecnico,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: parafiscales, categoria: profesional_tecnico.",2008-2024,0,43.29,original,C3R6PT,
parafiscales_administrativos_c3r6c2,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Administrat",C3R6C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: parafiscales, categoria: administrativos.",2008-2024,0,6.99,original,C3R6C2,
parafiscales_total_c3r6c3,"Total  Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)",C3R6C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: parafiscales, categoria: total.",2008-2024,0,1.76,original,C3R6C3,
seguros_vida_voluntarios_obreros_c3r7c1,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad,C3R7C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: seguros_vida_voluntarios, categoria: obreros.",2008-2024,0,93.77,original,C3R7C1,
seguros_vida_voluntarios_profesional_tecnico_c3r7pt,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad,C3R7PT,profesional_tecnico,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: seguros_vida_voluntarios, categoria: profesional_tecnico.",2008-2024,0,94.75,original,C3R7PT,
seguros_vida_voluntarios_administrativos_c3r7c2,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad,C3R7C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: seguros_vida_voluntarios, categoria: administrativos.",2008-2024,0,91.98,original,C3R7C2,
seguros_vida_voluntarios_total_c3r7c3,Total  Aportes voluntarios a compañías de seguros de vida que ampara al personal,C3R7C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: seguros_vida_voluntarios, categoria: total.",2008-2024,0,90.9,original,C3R7C3,
pago_agencias_temporales_obreros_c3r8c1,Valor causado por las empresas que suministran personal temporal al establecimie,C3R8C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: pago_agencias_temporales, categoria: obreros.",2008-2024,0,71.84,original,C3R8C1,
pago_agencias_temporales_profesional_tecnico_c3r8pt,Valor causado por las empresas que suministran personal temporal al establecimie,C3R8PT,profesional_tecnico,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: pago_agencias_temporales, categoria: profesional_tecnico.",2008-2024,0,87.77,original,C3R8PT,
pago_agencias_temporales_administrativos_c3r8c2,Valor causado por las empresas que suministran personal temporal al establecimie,C3R8C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: pago_agencias_temporales, categoria: administrativos.",2008-2024,0,78.08,original,C3R8C2,
pago_agencias_temporales_total_c3r8c3,Total  Valor causado por las empresas que suministran personal temporal al estab,C3R8C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: pago_agencias_temporales, categoria: total.",2008-2024,0,69.23,original,C3R8C3,
otros_gastos_personal_obreros_c3r9c1,Otros gastos del personal no incluidos antes  - Producción  - Obreros,C3R9C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: otros_gastos_personal, categoria: obreros.",2008-2024,0,14.54,original,C3R9C1,
otros_gastos_personal_profesional_tecnico_c3r9pt,Otros gastos del personal no incluidos antes  - Producción  - Profesional Tecnól,C3R9PT,profesional_tecnico,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: otros_gastos_personal, categoria: profesional_tecnico.",2008-2024,0,55.6,original,C3R9PT,
otros_gastos_personal_administrativos_c3r9c2,Otros gastos del personal no incluidos antes  - Administrativos,C3R9C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: otros_gastos_personal, categoria: administrativos.",2008-2024,0,17.99,original,C3R9C2,
otros_gastos_personal_total_c3r9c3,Total  Otros gastos del personal no incluidos antes,C3R9C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: otros_gastos_personal, categoria: total.",2008-2024,0,10.05,original,C3R9C3,
costos_totales_personal_obreros_c3r10c1,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Obreros,C3R10C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: costo_total_personal, categoria: obreros.",2008-2024,0,3.38,original,C3R10C1,
costos_totales_personal_profesional_tecnico_c3r10pt,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Profesional Te,C3R10PT,profesional_tecnico,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: costo_total_personal, categoria: profesional_tecnico.",2008-2024,0,40.77,original,C3R10PT,
costos_totales_personal_administrativos_c3r10c2,Costos y Gastos Causados pro el Personal Ocupado  - Administrativos,C3R10C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: costo_total_personal, categoria: administrativos.",2008-2024,0,5.55,original,C3R10C2,
costos_totales_personal_total_c3r10c3,Total  Costos y Gastos Causados pro el Personal Ocupado,C3R10C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: costo_total_personal, categoria: total.",2008-2024,0,0.37,original,C3R10C3,
apoyo_sostenimiento_aprendices_1_r1csap,Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (Ley 789,R1CSAP,no_determinada,"miles de pesos (supuesto, ver PASO 0.5)",anual,aprendices,"Costo laboral, concepto: apoyo_sostenimiento_aprendices, categoria: no_determinada.",2008-2024,0,76.02,original,R1CSAP,Categoria ocupacional NO determinada: etiqueta EAM truncada e identica para R1/R2/R3CSAP. No se adivino.
apoyo_sostenimiento_aprendices_2_r2csap,Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (Ley 789,R2CSAP,no_determinada,"miles de pesos (supuesto, ver PASO 0.5)",anual,aprendices,"Costo laboral, concepto: apoyo_sostenimiento_aprendices, categoria: no_determinada.",2008-2024,0,77.76,original,R2CSAP,Categoria ocupacional NO determinada: etiqueta EAM truncada e identica para R1/R2/R3CSAP. No se adivino.
apoyo_sostenimiento_aprendices_3_r3csap,Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (Ley 789,R3CSAP,no_determinada,"miles de pesos (supuesto, ver PASO 0.5)",anual,aprendices,"Costo laboral, concepto: apoyo_sostenimiento_aprendices, categoria: no_determinada.",2008-2024,0,66.74,original,R3CSAP,Categoria ocupacional NO determinada: etiqueta EAM truncada e identica para R1/R2/R3CSAP. No se adivino.
apoyo_sostenimiento_aprendices_total_r4csap,Total  Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (,R4CSAP,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,aprendices,"Costo laboral, concepto: apoyo_sostenimiento_aprendices, categoria: total.",2008-2024,0,49.65,original,R4CSAP,
control_salario_permanentes_salarper,Salario de Permanentes,SALARPER,permanentes,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: control, categoria: permanentes.",2008-2024,0,10.08,original,SALARPER,
control_salario_permanente_y_temporal_salpeyte,Salario Personal Permanente y Temporal,SALPEYTE,permanentes_y_temporal,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: control, categoria: permanentes_y_temporal.",2008-2024,0,1.35,original,SALPEYTE,
control_prestaciones_permanentes_pressper,Prestaciones de Permanente,PRESSPER,permanentes,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: control, categoria: permanentes.",2008-2024,0,10.08,original,PRESSPER,
control_prestaciones_permanente_y_temporal_prespyte,Prestaciones de Permanente y Temporal Directo,PRESPYTE,permanentes_y_temporal,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: control, categoria: permanentes_y_temporal.",2008-2024,0,1.34,original,PRESPYTE,
outsourcing_obreros_c3r41c1,Costos y gastos por servicios contratados con terceros (outsoursing)- Producción,C3R41C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,no_aplica,"Tercerizacion/ajuste, concepto: outsourcing.",2008-2024,0,82.19,original,C3R41C1,
outsourcing_administrativos_c3r41c2,Costos y gastos por servicios contratados con terceros (outsoursing)-  Administr,C3R41C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,no_aplica,"Tercerizacion/ajuste, concepto: outsourcing.",2008-2024,0,81.83,original,C3R41C2,
outsourcing_total_c3r41c3,Total Costos y gastos por servicios contratados con terceros (outsoursing),C3R41C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,no_aplica,"Tercerizacion/ajuste, concepto: outsourcing.",2008-2024,0,75.15,original,C3R41C3,
honorarios_servicios_tecnicos_obreros_c3r15c1,Honorarios y servicios técnicos - producción,C3R15C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,no_aplica,"Tercerizacion/ajuste, concepto: honorarios_servicios_tecnicos.",2008-2024,0,54.69,original,C3R15C1,
honorarios_servicios_tecnicos_administrativos_c3r15c2,Honorarios y servicios técnicos - Administración y ventas,C3R15C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,no_aplica,"Tercerizacion/ajuste, concepto: honorarios_servicios_tecnicos.",2008-2024,0,13.41,original,C3R15C2,
honorarios_servicios_tecnicos_total_c3r15c3,Total Honorarios y servicios técnicos,C3R15C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,no_aplica,"Tercerizacion/ajuste, concepto: honorarios_servicios_tecnicos.",2008-2024,0,10.03,original,C3R15C3,
productos_servicios_terceros_inicial_c3r14c1,Costos y gastos de productos y servicios industriales elaborados por terceros -,C3R14C1,no_aplica,"miles de pesos (supuesto, ver PASO 0.5)",anual,no_aplica,"Tercerizacion/ajuste, concepto: productos_servicios_terceros.",2008-2024,0,60,original,C3R14C1,
productos_servicios_terceros_total_c3r14c3,Total Costos y gastos de productos y servicios industriales elaborados por terce,C3R14C3,no_aplica,"miles de pesos (supuesto, ver PASO 0.5)",anual,no_aplica,"Tercerizacion/ajuste, concepto: productos_servicios_terceros.",2008-2024,0,60,original,C3R14C3,
impuesto_renta_equidad_obreros_c3r20c1,Impuesto de Renta para la Equidad - Producción,C3R20C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,no_aplica,"Tercerizacion/ajuste, concepto: impuesto_renta_equidad.",2013-2024,33.45,97.25,original,C3R20C1,Solo disponible 2013-2024 (PASO 0.4).
impuesto_renta_equidad_administrativos_c3r20c2,Impuesto de Renta para la Equidad - Administración y ventas,C3R20C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,no_aplica,"Tercerizacion/ajuste, concepto: impuesto_renta_equidad.",2013-2024,33.45,72.47,original,C3R20C2,Solo disponible 2013-2024 (PASO 0.4).
impuesto_renta_equidad_total_c3r20c3,Total Impuesto de Renta para la Equidad,C3R20C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,no_aplica,"Tercerizacion/ajuste, concepto: impuesto_renta_equidad.",2013-2024,33.45,71.61,original,C3R20C3,Solo disponible 2013-2024 (PASO 0.4).
valor_ventas_valorven,Valor de las ventas,VALORVEN,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,0.01,original,VALORVEN,
produccion_bruta_prodbr2,Producción Bruta,PRODBR2,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,0,original,PRODBR2,
produccion_industrial_prodbind,Producción Industrial,PRODBIND,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,0,original,PRODBIND,
valor_agregado_valagri,Valor Agregado,VALAGRI,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,0,original,VALAGRI,
consumo_intermedio_consin2,Consumo Intermedio,CONSIN2,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,0.01,original,CONSIN2,
consumo_materias_consmate,Consumo de Materias,CONSMATE,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,1.62,original,CONSMATE,
materia_prima_comprada_valorcom,Valor de la materia prima comprada,VALORCOM,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,2.37,original,VALORCOM,
materia_prima_importada_valorcx,Valor compras de materia prima en el exterior,VALORCX,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,78.41,original,VALORCX,
porcentaje_exportado_porcvt,Porcentaje vendido al exterior,PORCVT,NA,porcentaje (0-100),anual,no_aplica,Promedio ponderado por VALORVEN al agregar a firma.,2008-2024,6.62,70.82,original,PORCVT,
inversion_bruta_invebrta,Inversión Bruta,INVEBRTA,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,31.58,original,INVEBRTA,
activos_fijos_activfi,Activos Fijos,ACTIVFI,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,0.84,original,ACTIVFI,
depreciacion_deprecia,Depreciación,DEPRECIA,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,11.43,original,DEPRECIA,
valor_libros_actual_maquinaria_c7r10c2,Total  inversiones en activos fijos,C7R10C2,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,32.81,original,C7R10C2,
compra_maquinaria_nueva_c7c3r2,Valor compra de activos - nuevos - Maquinaria y equipo Industrial,C7C3R2,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,51.34,original,C7C3R2,
energia_electrica_kw_eelec,Energía Eléctrica en kw,EELEC,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,0.16,original,EELEC,
inventario_total_inicio_c6r5c1,Total Inventarios al final del año anterior-,C6R5C1,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,10.37,original,C6R5C1,
inventario_total_fin_c6r5c3,Total Inventarios al final del año actual,C6R5C3,NA,miles de pesos o unidad fisica (ver etiqueta EAM),anual,no_aplica,Suma directa al agregar a firma.,2008-2024,0,11.42,original,C6R5C3,
